LOCALE,CATEGORY,YEAR,INDICATOR,SOURCE,DESCRIPTION,UNIT,SYMBOL,MAP_MIN,MAP_MAX,GRAPH_MIN,GRAPH_MAX,Badakhshan,Badghis,Baghlan,Balkh,Bamyan,Daikundi,Farah,Faryab,Ghazni,Ghor,Hilmand,Hirat,Jawzjan,Kabul,Kandahar,Kapisa,Khost,Kunar,Kunduz,Laghman,Logar,Nangarhar,Nimroz,Nuristan,Paktia,Paktika,Panjshir,Parwan,Samangan,Sar i Pul,Takhar,Uruzgan,Wardak,Zabul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SETTINGS,,,,,,,,,,,,LANGUAGE,REGION,REGION-S,ICONS-S,VIEW-S,TABLE-S,OPTIONS-S,STAT-S,FULLSCR,WMAPTXT,MAPTXT-S,SYMBOL-S,FONT-S,FONT-C,BRDR-THCK,GUI-BODY-CLR,GUI-BODY2-CLR,GUI-TOP-CLR,GUI-TOP-A1,GUI-TOP-A2,GUI-BRDR-CLR,BTN-CLR1,BTN-CLR2,BTN-CLR3,GUI-COLORH1a,GUI-COLORH1b,GUI-COLORH2a,GUI-COLORH2b,COLR GR,COLR0,COLR1,COLR2,COLR3,COLR4,COLR5,COLR6,COLR7,COLR8,COLR MAP,COLR MAP2,COLR NEUTRAL,COLR NODATA,COLR OVER,COLR BRDR,TXTCOLR1,TXTCOLR2,VIEW0,VIEW1,VIEW2,VIEW3,VIEW4,VIEW5,VIEW6,VIEW7,VIEW8,VIEW9,VIEW10,VIEW11,VIEW12,VIEW13,VIEW14,VIEW15,GRSORT,GRSORTL,GRTRENDL,VISTYPE,ADJSCALE1,ADJSCALE2,ADJSCALE3,ANITIME,GRWIDTH,GRHEIGHT,WINSCALE,INDICMAX,DECPLACES,WINTOP-HEIGHT,I_CAT,I_YEAR,I_REG,I_CAT2,W_COUNTRY,I_REG1,I_REG2,I_GROPTIONS,I_GRSORT,I_GRSORTL,I_GRSORT1,I_GRSORT2,I_GRSORT3,I_GRSORT4,I_GRSORT5,I_GRTREND1,I_GRTREND2,GR_SCALE,GR_SCALE2,GR_SCALE3,I_GRSLOPE,I_GRSCATTER,I_GRLINE,I_GRVERBAR,I_GRHORBAR,I_GRFULL,I_GRRED,I_GRSEL,I_GRINDIC,P_GRAPH,P_TABLE,P_SYMBOL,P_OPTIONS,P_SAVE,P_FULLSCR,P_FULLSCR2,I_STARTUP,I_BOOKM3,I_BOOKM1,I_BOOKM2,I_SOURCE,P_SOURCE,I_COUNTRY,I_SAVEWT,I_SAVEIM,I_SEQ,I_DIV,I_PRTSCRN,I_GENERAL,I_DECPLACES,I_ADJ,I_ADJ1,I_ADJ2,I_ADJ3,I_VISTYPE,I_VIS1,I_VIS2,I_APPRNCE,I_ANIMATE,I_MAPCLR,I_MAPBG,I_MAPBG2,I_MAPBRDR,I_MAPNTRL,I_MAPND,I_MAPSEL,I_TXTCOLR1,I_TXTCOLR2,I_MAPTXTSIZE,I_SYMBSIZE,I_SAVE,I_SELECT,I_REMOVE,I_CLEAR,I_REFRESH_REG,P_TABLEC1,P_TABLEC2,P_TABLES1,P_TABLES2,I_MEAN,I_PERC,I_STDEV,I_RANGE,I_RANGE2,I_MENU,VIEWT0,VIEWT0R,VIEWT1,VIEWT2,VIEWT3,VIEWT4,VIEWT5,VIEWT6,VIEWT7,VIEWT8,VIEWT9,VIEWT10,VIEWT11,VIEWT12,VIEWT13,VIEWT14,VIEWT15,I_NO_DATA,I_NO_DATA2,TXT-OK,I_CLOSE,P_PLAY,P_PAUSE,T_EDIT,MLN,TND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,English,Map,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,160,140,10,0x000000,1,0xE5E5E5,0xE5E5E5,0x999999,50,30,0x6C6C6C,0x999999,0x6C6C6C,0xFFFFFF,0xFFFFC8,0xFFFF5B,0xC8FFC8,0x71FF71,0xFD8D3C,0xBD0026,0xF03B20,0xFD8D3C,0xFECC5C,0xFFFFB2,no color,no color,no color,no color,0xF4F8FB,0xF4F8FB,0xFFFFFF,0xCCCCCC,0xFFFF00,0x333333,0x000000,0xFFFFFF,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,1,1,1,TRUE,TRUE,FALSE,0.8,auto,auto,100,TRUE,1,16,Category,Year,Select a region,Select a category,Country,Map,Custom region,Graph options,Sort bar chart,Sort labels,Sort lowest to highest,Sort highest to lowest,Sort highest to lowest - from middle,Sort alphabetical,Sort highest to lowest based on average,Show trendline,Hide trendline,Bubble size,scale according to indicator,Same size,Slope,Show scatter plot,Show time series graph,Show column chart,Show bar chart,Full screen graph,Reduce graph size,Please select the countries you wish to plot,Please select a y-axis indicator,Graphs,Data table,Proportional symbol map,Options and appearance,Export map,Switch to full screen mode,Close full screen,Select an indicator,Bookmarked indicator,Bookmark selected indicator,Once you have bookmarked an indicator you can select a second indicator to create a Scatter Plot Graph,Source,Go to website,Click for country data,Please wait,saving image,Sequential,Diverging,To save the image: <br><br>(i) press the 'PrtScrn' (Print Screen) button on your keyboard; <br>(ii) open an image viewer such as Microsoft Paint and select 'Edit -> Paste'; <br>(iii) save the image in whichever format you wish.,General,Decimal places,Adjust map/graph scale,on changing indicator,on changing region,on changing year,Graph / map scale,Use values,Convert to percentile,Appearance,Animation duration (sec.),Map Colours,Background: Inner,Background: Outer,Borders,Country - Excluded,Country - No Data,Country - Selected,Text,Text outline (stroke),Map text size,Symbol size,Save/Export,Select,Remove selected,Deselect all,Refresh selection list,Copy table data,Go to Excel and select - Edit -> Paste. You can also paste the data in a text editor such as Notepad; save the file with the extension .html and open the file in a Web Browser.,Save (export) table data,File format .CSV (can be opened by most spreadsheets and database software),Mean,Percentile,StDev,Range,to,Show / hide,Country information,Region information,Abbreviation,ISO Code,Full name,Statistic(s),Popup,Bar chart,Indicator(s),Statistics,Symbol map,Windows,Graph,Indicators,Map legend,Options,Table,No data,No data for selected indicator,OK,Close StatPlanet,Play from beginning,Pause,Edit,million,thousand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,X,Y,ZOOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map,,,,500,350,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,,,,,,,,,,,,BDS,BDG,BGL,BAL,BAM,DAY,FRA,FYB,GHA,GHO,HEL,HER,JOW,KAB,KAN,KAP,KHO,KNR,KDZ,LAG,LOW,NAN,NIM,NUR,PIA,PKA,PAN,PAR,SAM,SAR,TAK,ORU,WAR,ZAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Enrolment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>by Gender,2007,,EMIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gross Enrolment - Primary Male,,,%,,,,,,155.0644687,126.2676945,187.4439705,189.3438844,114.5024691,136.0210308,130.6816953,162.6028474,145.228384,131.7025558,132.1883391,187.5474312,160.7656254,,115.1335839,176.7172211,237.2740655,195.4747256,151.926251,183.3406093,181.8239102,201.2982593,150.8158922,142.4891897,169.3086841,169.0159306,120.8368877,174.6763707,152.7638914,141.9839729,164.1459268,152.7575483,155.12908,166.0419517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gross Enrolment - Primary Female ,,,%,,,,,,147.1917632,48.67179255,139.7094975,149.7363256,84.01569476,95.3886311,65.23624008,116.8112668,74.02715356,63.97440332,19.60883301,164.9891463,106.8947221,,27.7076079,88.99145945,90.39724742,129.0594093,107.7377085,133.6307986,92.50626602,138.3969771,118.2590436,107.8401771,59.82164131,50.59002252,84.25614794,103.3750479,80.76448906,89.82777614,124.5256807,18.45657782,62.3280451,19.28663176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gross Enrolment - Primary Total,,,%,,,,,,151.2593637,88.88436955,164.5190483,170.2770853,99.68568347,116.5479871,99.27321291,140.5110019,110.918592,99.05050758,78.21086412,176.5771536,134.6968284,,73.17336392,133.8884901,166.6654136,163.5269099,130.5377195,159.4567973,138.577701,171.0426205,135.1353836,125.7558083,116.5741164,111.97622,103.2232373,139.9514341,118.1359122,116.9041744,145.0162741,88.56420689,110.352314,95.60134687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>by Level of Education,2007,,EMIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gross Enrolment - Lower Secondary Male ,,,%,,,,,,82.44796501,31.11962246,98.16242198,83.28736309,60.11611212,53.92086084,35.67000791,39.57519699,74.43913323,55.41097908,37.78135637,61.35774648,66.63046256,,36.73109195,112.5766588,83.96726331,80.14192505,64.37626794,90.77630563,104.0439129,78.1735773,33.34776023,42.5,69.00572704,49.22509225,89.98170174,117.3672443,42.61466136,35.88170998,67.67026466,52.4349246,93.68444252,20.82777036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gross Enrolment - Lower Secondary Female ,,,%,,,,,,60.40097211,5.325858444,38.76801994,51.08546304,23.10111103,27.35598344,14.31056652,13.16997277,35.8456472,6.565064478,4.078886506,48.57346797,24.98738011,,4.22376323,37.50517941,4.846526656,18.74625198,29.57532559,19.67985267,22.95703083,15.04410443,14.3702243,12.58123213,3.42550952,1.513134851,23.1697271,30.65299818,15.80589591,9.081448592,35.53964449,1.17686244,7.003695688,0.943997959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
